id,name,state_id,created_at,updated_at
1,Tokyo,1,null,null
2,New York,2,null,null
3,Mexico City,3,null,null
4,Mumbai,4,null,null
5,SAEo Paulo,5,null,null
6,Delhi,6,null,null
7,Shanghai,7,null,null
8,Kolkata,8,null,null
9,Los Angeles,9,null,null
10,Dhaka,10,null,null
11,Buenos Aires,11,null,null
12,Karachi,12,null,null
13,Cairo,13,null,null
14,Rio de Janeiro,14,null,null
15,ACEsaka,15,null,null
16,Beijing,16,null,null
17,Manila,17,null,null
18,Moscow,18,null,null
19,Istanbul,19,null,null
20,Paris,20,null,null
21,Seoul,21,null,null
22,Lagos,22,null,null
23,Jakarta,23,null,null
24,Guangzhou,24,null,null
25,Chicago,25,null,null
26,London,26,null,null
27,Lima,27,null,null
28,Tehran,28,null,null
29,Kinshasa,29,null,null
30,BogotA≠,30,null,null
31,Shenzhen,24,null,null
32,Wuhan,31,null,null
33,Tianjin,32,null,null
34,Chennai,33,null,null
35,Taipei,34,null,null
36,BengalAru,35,null,null
37,Bangkok,36,null,null
38,Lahore,37,null,null
39,Chongqing,38,null,null
40,Miami,39,null,null
41,Hyderabad,40,null,null
42,Dallas,41,null,null
43,Santiago,42,null,null
44,Philadelphia,43,null,null
45,Belo Horizonte,44,null,null
46,Madrid,45,null,null
47,Houston,41,null,null
48,AhmadAbAd,46,null,null
49,Ho Chi Minh City,47,null,null
50,Washington,48,null,null
51,Atlanta,49,null,null
52,Toronto,50,null,null
53,Luanda,51,null,null
54,Baghdad,52,null,null
55,Barcelona,53,null,null
56,HAora,8,null,null
57,Shenyang,54,null,null
58,Khartoum,55,null,null
59,Pune,4,null,null
60,Boston,56,null,null
61,Sydney,57,null,null
62,Saint Petersburg,58,null,null
63,Chittagong,59,null,null
64,Dongguan,24,null,null
65,Riyadh,60,null,null
66,Hanoi,61,null,null
67,Guadalajara,62,null,null
68,Melbourne,63,null,null
69,Alexandria,64,null,null
70,Chengdu,65,null,null
71,Rangoon,66,null,null
72,Phoenix,67,null,null
73,XiaEan,68,null,null
74,Porto Alegre,69,null,null
75,SArat,46,null,null
76,Hechi,70,null,null
77,Abidjan,71,null,null
78,BrasA?lia,72,null,null
79,Ankara,73,null,null
80,Monterrey,74,null,null
81,Yokohama,75,null,null
82,Nanjing,76,null,null
83,MontrAcal,77,null,null
84,Guiyang,78,null,null
85,Recife,79,null,null
86,Seattle,80,null,null
87,Harbin,81,null,null
88,San Francisco,9,null,null
89,Fortaleza,82,null,null
90,Zhangzhou,83,null,null
91,Detroit,84,null,null
92,Salvador,85,null,null
93,Busan,86,null,null
94,Johannesburg,87,null,null
95,Berlin,88,null,null
96,Algiers,89,null,null
97,Rome,90,null,null
98,Pyongyang,91,null,null
99,MedellA?n,92,null,null
100,Kabul,93,null,null
101,Athens,94,null,null
102,Nagoya,95,null,null
103,Cape Town,96,null,null
104,San Diego,9,null,null
105,Changchun,97,null,null
106,Casablanca,98,null,null
107,Dalian,54,null,null
108,Cawnpore,99,null,null
109,Kano,100,null,null
110,Tel Aviv-Yafo,101,null,null
111,Addis Ababa,102,null,null
112,Curitiba,103,null,null
113,Zibo,104,null,null
114,Jeddah,105,null,null
115,Nairobi,106,null,null
116,Hangzhou,107,null,null
117,Benoni,87,null,null
118,Caracas,108,null,null
119,Milan,109,null,null
120,Stuttgart,110,null,null
121,Kunming,111,null,null
122,Dar es Salaam,112,null,null
123,Minneapolis,113,null,null
124,Jaipur,114,null,null
125,Taiyuan,115,null,null
126,Frankfurt,116,null,null
127,Qingdao,104,null,null
128,Surabaya,117,null,null
129,Lisbon,118,null,null
130,Tampa,39,null,null
131,Jinan,104,null,null
132,Fukuoka,119,null,null
133,Campinas,5,null,null
134,Denver,120,null,null
135,Kaohsiung,121,null,null
136,Quezon City,122,null,null
137,Katowice,123,null,null
138,Aleppo,124,null,null
139,Durban,125,null,null
140,Kyiv,126,null,null
141,Lucknow,99,null,null
142,Giza,127,null,null
143,Zhengzhou,128,null,null
144,Taichung,129,null,null
145,Brooklyn,2,null,null
146,Ibadan,130,null,null
147,Faisalabad,37,null,null
148,Fuzhou,83,null,null
149,Changsha,131,null,null
150,Dakar,132,null,null
151,Azmir,133,null,null
152,Xiangtan,131,null,null
153,Lanzhou,134,null,null
154,Incheon,135,null,null
155,Sapporo,136,null,null
156,Xiamen,83,null,null
157,Guayaquil,137,null,null
158,George Town,138,null,null
159,Mashhad,139,null,null
160,Damascus,140,null,null
161,Daegu,141,null,null
162,NAgpur,4,null,null
163,Lianshan,54,null,null
164,Shijiazhuang,142,null,null
165,Tunis,143,null,null
166,Vienna,144,null,null
167,Jilin,97,null,null
168,Omdurman,55,null,null
169,Bandung,145,null,null
170,Bekasi,145,null,null
171,Mannheim,110,null,null
172,Nanchang,146,null,null
173,Wenzhou,107,null,null
174,Queens,2,null,null
175,Vancouver,147,null,null
176,Birmingham,148,null,null
177,Cali,149,null,null
178,Naples,150,null,null
179,Sendai,151,null,null
180,Manchester,152,null,null
181,Puebla,153,null,null
182,Tripoli,154,null,null
183,Tashkent,155,null,null
184,Havana,156,null,null
185,Gaoping,65,null,null
186,Baltimore,157,null,null
187,Nanning,70,null,null
188,BelAcm,158,null,null
189,Patna,159,null,null
190,Santo Domingo,160,null,null
191,ACErAmqi,161,null,null
192,Zaozhuang,104,null,null
193,Baku,162,null,null
194,Accra,163,null,null
195,Yantai,104,null,null
196,Medan,164,null,null
197,Santa Cruz,165,null,null
198,Tongshan,76,null,null
199,Riverside,9,null,null
200,Linyi,104,null,null
201,St. Louis,166,null,null
202,Las Vegas,167,null,null
203,Maracaibo,168,null,null
204,Kuwait City,169,null,null
205,Ad DammAm,170,null,null
206,Portland,171,null,null
207,Haikou,172,null,null
208,Hiroshima,173,null,null
209,Baotou,174,null,null
210,Hefei,175,null,null
211,Indore,176,null,null
212,GoiAcnia,177,null,null
213,Sanaa,178,null,null
214,San Antonio,41,null,null
215,Port-au-Prince,179,null,null
216,Haiphong,180,null,null
217,Suzhou,175,null,null
218,Nanyang,128,null,null
219,Bucharest,181,null,null
220,Ningbo,107,null,null
221,Douala,182,null,null
222,Tangshan,142,null,null
223,Tainan,183,null,null
224,Xiping,115,null,null
225,AsunciAn,184,null,null
226,Saidu Sharif,185,null,null
227,Brisbane,186,null,null
228,Rawalpindi,37,null,null
229,Sacramento,9,null,null
230,Beirut,187,null,null
231,San Jose,9,null,null
232,Minsk,188,null,null
233,KyAçto,189,null,null
234,Barranquilla,190,null,null
235,Orlando,39,null,null
236,Shuyangzha,76,null,null
237,Valencia,191,null,null
238,Hamburg,192,null,null
239,Vadodara,46,null,null
240,Manaus,193,null,null
241,Shangqiu,128,null,null
242,Wuxi,76,null,null
243,Palembang,194,null,null
244,Brussels,195,null,null
245,Essen,196,null,null
246,Cleveland,197,null,null
247,Bhopal,176,null,null
248,Hohhot,174,null,null
249,Pittsburgh,43,null,null
250,Luoyang,128,null,null
251,Santos,5,null,null
252,Jingling,31,null,null
253,Warsaw,198,null,null
254,Rabat,199,null,null
255,VitAria,200,null,null
256,Quito,201,null,null
257,Antananarivo,202,null,null
258,Coimbatore,33,null,null
259,Daqing,81,null,null
260,LuaEan,175,null,null
261,Sanzhou,38,null,null
262,Budapest,203,null,null
263,Turin,204,null,null
264,LudhiAna,37,null,null
265,Cincinnati,197,null,null
266,Kumasi,205,null,null
267,Manhattan,2,null,null
268,Qiqihar,81,null,null
269,Anshan,54,null,null
270,Austin,41,null,null
271,Zhongli,206,null,null
272,Handan,142,null,null
273,TaiaEan,104,null,null
274,EAYfahAn,207,null,null
275,Kansas City,166,null,null
276,YaoundAc,208,null,null
277,Shantou,24,null,null
278,AEgra,99,null,null
279,Zhanjiang,24,null,null
280,La Paz,209,null,null
281,KalyAn,4,null,null
282,Abuja,210,null,null
283,Harare,211,null,null
284,Indianapolis,212,null,null
285,Xiantao,31,null,null
286,Khulna,213,null,null
287,Weifang,104,null,null
288,Tijuana,214,null,null
289,Xinyang,128,null,null
290,Luzhou,65,null,null
291,Perth,216,null,null
292,Toluca,217,null,null
293,VishAkhapatnam,218,null,null
294,Leeds,219,null,null
295,KAçbe,220,null,null
296,Columbus,197,null,null
297,Multan,37,null,null
298,Kochi,221,null,null
299,Montevideo,222,null,null
300,Gujranwala,37,null,null
301,NiterAi,14,null,null
302,Ganzhou,146,null,null
303,Florence,223,null,null
304,Liuzhou,70,null,null
305,Bamako,224,null,null
306,Conakry,225,null,null
307,Bursa,226,null,null
308,LeAn de los Aldama,227,null,null
309,Virginia Beach,228,null,null
310,NAsik,4,null,null
311,Fushun,54,null,null
312,Changde,131,null,null
313,Daejeon,229,null,null
314,Charlotte,230,null,null
315,Phnom Penh,231,null,null
316,Neijiang,65,null,null
317,Quanzhou,83,null,null
318,Kharkiv,232,null,null
319,Hyderabad City,12,null,null
320,Bronx,2,null,null
321,LomAc,233,null,null
322,CArdoba,234,null,null
323,Huainan,175,null,null
324,Doha,235,null,null
325,Kuala Lumpur,236,null,null
326,Maputo,237,null,null
327,Kaduna,238,null,null
328,Gwangju,239,null,null
329,Kawanakajima,75,null,null
330,San Salvador,240,null,null
331,Suining,65,null,null
332,Lyon,241,null,null
333,Karaj,242,null,null
334,Kampala,243,null,null
335,TabrAz,244,null,null
336,The Hague,245,null,null
337,Davao,246,null,null
338,Marseille,247,null,null
339,Meerut,99,null,null
340,Mianyang,65,null,null
341,Semarang,248,null,null
342,FarAdAbAd,249,null,null
343,Novosibirsk,250,null,null
344,Mecca,105,null,null
345,Dubai,251,null,null
346,Milwaukee,252,null,null
347,Auckland,253,null,null
348,MaaEanshan,175,null,null
349,Brazzaville,254,null,null
350,Yiyang,131,null,null
351,VArAnasi,99,null,null
352,Lubumbashi,255,null,null
353,JuA≠rez,256,null,null
354,GhAziAbAd,99,null,null
355,Pretoria,87,null,null
356,Heze,104,null,null
357,Porto,257,null,null
358,AEsansol,8,null,null
359,Lusaka,258,null,null
360,Changzhou,76,null,null
361,Mosul,259,null,null
362,Yekaterinburg,260,null,null
363,Peshawar,185,null,null
364,Mandalay,261,null,null
365,Jamshedpur,262,null,null
366,Mbuji-Mayi,263,null,null
367,Madura,33,null,null
368,Adana,264,null,null
369,Sheffield,265,null,null
370,Jabalpur,176,null,null
371,San JosAc,266,null,null
372,Panama City,267,null,null
373,Nizhniy Novgorod,268,null,null
374,Chifeng,174,null,null
375,Duisburg,196,null,null
376,Munich,269,null,null
377,Huaiyin,76,null,null
378,Stockholm,270,null,null
379,Makassar,271,null,null
380,RAjkot,46,null,null
381,DhanbAd,262,null,null
382,Mudanjiang,81,null,null
383,Geneva,272,null,null
384,ShArAz,273,null,null
385,Huzhou,107,null,null
386,Beidao,134,null,null
387,Shuangshui,78,null,null
388,DAsseldorf,196,null,null
389,Gaozhou,24,null,null
390,Sevilla,274,null,null
391,Amritsar,37,null,null
392,Vila Velha,200,null,null
393,Almaty,276,null,null
394,Providence,277,null,null
395,Warangal,40,null,null
396,Rosario,278,null,null
397,AllahAbAd,99,null,null
398,Benin City,279,null,null
399,Jining,104,null,null
400,MaceiA,280,null,null
