id,name,country id,created_at,updated_at
1,TAkyA,1,null,null
2,New York,2,null,null
3,Ciudad de MAcxico,3,null,null
4,MahArAshtra,4,null,null
5,SAeo Paulo,5,null,null
6,Delhi,4,null,null
7,Shanghai,6,null,null
8,West Bengal,4,null,null
9,California,2,null,null
10,Dhaka,7,null,null
11,"Buenos Aires, Ciudad AutAnoma de",8,null,null
12,Sindh,9,null,null
13,Al QAhirah,10,null,null
14,Rio de Janeiro,5,null,null
15,ACEsaka,1,null,null
16,Beijing,6,null,null
17,Manila,11,null,null
18,Moskva,12,null,null
19,Astanbul,13,null,null
20,AZledeFrance,14,null,null
21,Seoul,15,null,null
22,Lagos,16,null,null
23,Jakarta,17,null,null
24,Guangdong,6,null,null
25,Illinois,2,null,null
26,"London, City of",18,null,null
27,Lima,19,null,null
28,TehrAn,20,null,null
29,Kinshasa,21,null,null
30,BogotA,22,null,null
31,Hubei,6,null,null
32,Tianjin,6,null,null
33,Tamil NAdu ,4,null,null
34,Taipei,24,null,null
35,KarnAtaka,4,null,null
36,Krung Thep Maha Nakhon,25,null,null
37,Punjab,9,null,null
38,Chongqing,6,null,null
39,Florida,2,null,null
40,Telangana,4,null,null
41,Texas,2,null,null
42,RegiAn Metropolitana,26,null,null
43,Pennsylvania,2,null,null
44,Minas Gerais,5,null,null
45,Madrid,27,null,null
46,GujarAt,4,null,null
47,Ha ChA Minh,28,null,null
48,District of Columbia,2,null,null
49,Georgia,2,null,null
50,Ontario,29,null,null
51,Luanda,31,null,null
52,BaghdAd,32,null,null
53,Catalonia,27,null,null
54,Liaoning,6,null,null
55,Khartoum,33,null,null
56,Massachusetts,2,null,null
57,New South Wales,34,null,null
58,SanktPeterburg,12,null,null
59,Chittagong,7,null,null
60,Ar RiyAa,35,null,null
61,HAˇ Nai,28,null,null
62,Jalisco,3,null,null
63,Victoria,34,null,null
64,Al IskandarAyah,10,null,null
65,Sichuan,6,null,null
66,Yangon,36,null,null
67,Arizona,2,null,null
68,Shaanxi,6,null,null
69,Rio Grande do Sul,5,null,null
70,Guangxi,6,null,null
71,Abidjan,37,null,null
72,Distrito Federal,5,null,null
73,Ankara,13,null,null
74,Nuevo LeAn,3,null,null
75,Kanagawa,1,null,null
76,Jiangsu,6,null,null
77,QuAcbec,29,null,null
78,Guizhou,6,null,null
79,Pernambuco,5,null,null
80,Washington,2,null,null
81,Heilongjiang,6,null,null
82,CearA,5,null,null
83,Fujian,6,null,null
84,Michigan,2,null,null
85,Bahia,5,null,null
86,Busan,15,null,null
87,Gauteng,38,null,null
88,Berlin,39,null,null
89,Alger,40,null,null
90,Lazio,41,null,null
91,PayAèngyang,42,null,null
92,Antioquia,22,null,null
93,KAbul,43,null,null
94,AttikA,44,null,null
95,Aichi,1,null,null
96,Western Cape,38,null,null
97,Jilin,6,null,null
98,CasablancaSettat,45,null,null
99,Uttar Pradesh,4,null,null
100,Kano,16,null,null
101,Tel Aviv,46,null,null
102,AEdAs AEbeba,47,null,null
103,ParanA,5,null,null
104,Shandong,6,null,null
105,Makkah al Mukarramah,35,null,null
106,Nairobi City,48,null,null
107,Zhejiang,6,null,null
108,Distrito Capital,49,null,null
109,Lombardy,41,null,null
110,BadenWArttemberg,39,null,null
111,Yunnan,6,null,null
112,Dar es Salaam,50,null,null
113,Minnesota,2,null,null
114,RAjasthAn,4,null,null
115,Shanxi,6,null,null
116,Hesse,39,null,null
117,Jawa Timur,17,null,null
118,Lisboa,51,null,null
119,Fukuoka,1,null,null
120,Colorado,2,null,null
121,Kaohsiung,24,null,null
122,Quezon,11,null,null
123,A?lA?skie,52,null,null
124,aalab,53,null,null
125,KwaZuluNatal,38,null,null
126,"Kyyiv, Misto",54,null,null
127,Al JAzah,10,null,null
128,Henan,6,null,null
129,Taichung,24,null,null
130,Oyo,16,null,null
131,Hunan,6,null,null
132,Dakar,55,null,null
133,Azmir,13,null,null
134,Gansu,6,null,null
135,Incheon,15,null,null
136,HokkaidA,1,null,null
137,Guayas,56,null,null
138,Pulau Pinang,57,null,null
139,KhorAsAne Raa?avA,20,null,null
140,Dimashq,53,null,null
141,Daegu,15,null,null
142,Hebei,6,null,null
143,Tunis,58,null,null
144,Wien,59,null,null
145,Jawa Barat,17,null,null
146,Jiangxi,6,null,null
147,British Columbia,29,null,null
148,Birmingham,18,null,null
149,Valle del Cauca,22,null,null
150,Campania,41,null,null
151,Miyagi,1,null,null
152,Manchester,18,null,null
153,Puebla,3,null,null
154,AcarAbulus,60,null,null
155,Toshkent,61,null,null
156,La Habana,62,null,null
157,Maryland,2,null,null
158,ParA,5,null,null
159,BihAr,4,null,null
160,Ozama,63,null,null
161,Xinjiang,6,null,null
162,BakA,64,null,null
163,Greater Accra,65,null,null
164,Sumatera Utara,17,null,null
165,Santa Cruz,66,null,null
166,Missouri,2,null,null
167,Nevada,2,null,null
168,Zulia,49,null,null
169,Al aEAEAYimah,67,null,null
170,Ash SharqAyah,35,null,null
171,Oregon,2,null,null
172,Hainan,6,null,null
173,Hiroshima,1,null,null
174,Inner Mongolia,6,null,null
175,Anhui,6,null,null
176,Madhya Pradesh,4,null,null
177,GoiAs,5,null,null
178,AmAnat al aEAEAYimah,68,null,null
179,Ouest,69,null,null
180,Haei PhAng,28,null,null
181,BucureAYti,70,null,null
182,Littoral,71,null,null
183,Tainan,24,null,null
184,AsunciAn,72,null,null
185,Khyber Pakhtunkhwa,9,null,null
186,Queensland,34,null,null
187,Beyrouth,73,null,null
188,Minsk,74,null,null
189,KyAto,1,null,null
190,AtlAntico,22,null,null
191,Carabobo,49,null,null
192,Hamburg,39,null,null
193,Amazonas,5,null,null
194,Sumatera Selatan,17,null,null
195,BrusselsCapital Region,75,null,null
196,North RhineWestphalia,39,null,null
197,Ohio,2,null,null
198,Mazowieckie,52,null,null
199,RabatSalAcKAcnitra,45,null,null
200,EspArito Santo,5,null,null
201,Pichincha,56,null,null
202,Antananarivo,76,null,null
203,Budapest,77,null,null
204,Piedmont,41,null,null
205,Ashanti,65,null,null
206,Taoyuan,24,null,null
207,EAYfahAn,20,null,null
208,Centre,71,null,null
209,La Paz,66,null,null
210,Federal Capital Territory,16,null,null
211,Harare,78,null,null
212,Indiana,2,null,null
213,Khulna,7,null,null
214,Baja California,3,null,null
215,Cibao Norte,63,null,null
216,Western Australia,34,null,null
217,MAcxico,3,null,null
218,Andhra Pradesh,4,null,null
219,Leeds,18,null,null
220,HyAgo,1,null,null
221,Kerala,4,null,null
222,Montevideo,79,null,null
223,Tuscany,41,null,null
224,Bamako,80,null,null
225,Conakry,81,null,null
226,Bursa,13,null,null
227,Guanajuato,3,null,null
228,Virginia,2,null,null
229,Daejeon,15,null,null
230,North Carolina,2,null,null
231,Phnom Penh,82,null,null
232,Kharkivsaka Oblasta,54,null,null
233,Maritime,83,null,null
234,CArdoba,8,null,null
235,Ad Dawacah,84,null,null
236,Kuala Lumpur ,57,null,null
237,Maputo,85,null,null
238,Kaduna,16,null,null
239,Gwangju,15,null,null
240,San Salvador,86,null,null
241,AuvergneRhAneAlpes,14,null,null
242,Alborz,20,null,null
243,Kampala,87,null,null
244,AEzIarbAyjAne SharqA,20,null,null
245,ZuidHolland,88,null,null
246,Davao,11,null,null
247,ProvenceAlpesCAte daAzur,14,null,null
248,Jawa Tengah,17,null,null
249,HaryAna,4,null,null
250,Novosibirskaya Oblasta,12,null,null
251,Dubayy,89,null,null
252,Wisconsin,2,null,null
253,Auckland,90,null,null
254,Brazzaville,91,null,null
255,HautKatanga,21,null,null
256,Chihuahua,3,null,null
257,Porto,51,null,null
258,Lusaka,92,null,null
259,NAnawA,32,null,null
260,Sverdlovskaya Oblasta,12,null,null
261,Mandalay,36,null,null
262,Jharkhand,4,null,null
263,KasaA Oriental,21,null,null
264,Adana,13,null,null
265,Sheffield,18,null,null
266,San JosAc,93,null,null
267,PanamA,94,null,null
268,Nizhegorodskaya Oblasta,12,null,null
269,Bavaria,39,null,null
270,Stockholm,95,null,null
271,Sulawesi Selatan,17,null,null
272,GenAve,96,null,null
273,FArs,20,null,null
274,Andalusia,27,null,null
275,AmapA,5,null,null
276,Almaty,97,null,null
277,Rhode Island,2,null,null
278,Santa Fe,8,null,null
279,Edo,16,null,null
280,Alagoas,5,null,null
281,SofiaGrad,98,null,null
282,BanghAzA,60,null,null
283,"Praha, HlavnA MA?sto",99,null,null
284,Glasgow City,18,null,null
285,South Australia,34,null,null
286,Coahuila de Zaragoza,3,null,null
287,Jammu and KashmAr,4,null,null
288,Samarskaya Oblasta,12,null,null
289,Omskaya Oblasta,12,null,null
290,Cagayan de Oro,11,null,null
291,Can ThAE,28,null,null
292,Lara,49,null,null
293,Uusimaa,101,null,null
294,Tatarstan,12,null,null
295,Alberta,29,null,null
296,ZArich,96,null,null
297,Ash ShAriqah,89,null,null
298,Yerevan,102,null,null
299,Banaadir,103,null,null
300,Tbilisi,104,null,null
301,Huambo,31,null,null
302,Ondo,16,null,null
303,Beograd,105,null,null
304,Utah,2,null,null
305,ChhattAsgarh,4,null,null
306,Chelyabinskaya Oblasta,12,null,null
307,Rio Grande do Norte,5,null,null
308,Dushanbe,106,null,null
309,Hovedstaden,107,null,null
310,Gyeongnam,15,null,null
311,Gyeonggi,15,null,null
312,Tennessee,2,null,null
313,Ulsan,15,null,null
314,Dublin,109,null,null
315,Rostovskaya Oblasta,12,null,null
316,Dnipropetrovsaka Oblasta,54,null,null
317,Qinghai,6,null,null
318,HautsdeFrance,14,null,null
319,Gaziantep,13,null,null
320,Montserrado,110,null,null
321,MaranhAeo,5,null,null
322,NoordHolland,88,null,null
323,Louisiana,2,null,null
324,Guatemala,111,null,null
325,Santa Catarina,5,null,null
326,Eastern Cape,38,null,null
327,Rivers,16,null,null
328,Bashkortostan,12,null,null
329,Kentucky,2,null,null
330,Haifa,46,null,null
331,Al MadAnah al Munawwarah,35,null,null
332,Santander,22,null,null
333,Aragua,49,null,null
334,aimAY,53,null,null
335,FAsMeknAs,45,null,null
336,Ville de NaDjamAcna,112,null,null
337,Francisco MorazAn,113,null,null
338,Kingston,114,null,null
339,Nay Pyi Taw,36,null,null
340,Djibouti,115,null,null
341,Managua,116,null,null
342,Niamey,117,null,null
343,TiranA,118,null,null
344,BAgmatA,119,null,null
345,Ulaanbaatar,120,null,null
346,Kigali,121,null,null
347,Bishkek,122,null,null
348,Oslo,123,null,null
349,Bangui,124,null,null
350,Western Area,125,null,null
351,IslAmAbAd,9,null,null
352,Viangchan,127,null,null
353,RAga,128,null,null
354,MasqaAe,130,null,null
355,"Zagreb, Grad",132,null,null
356,"Bosnia and Herzegovina, Federation of",133,null,null
357,ChiAYinAüu,134,null,null
358,Lilongwe,135,null,null
359,MaaAkel,136,null,null
360,AbA ZIsaby,89,null,null
361,Port Louis,137,null,null
362,Estuaire,138,null,null
363,Vilniaus Miestas,140,null,null
364,Skopje,141,null,null
365,Free State,38,null,null
366,BratislavskA,142,null,null
367,Bissau,143,null,null
368,Harjumaa,144,null,null
369,Wellington,90,null,null
370,Valletta,145,null,null
371,Maseru,146,null,null
372,Astana,97,null,null
373,Bujumbura Mairie,147,null,null
374,Australian Capital Territory,34,null,null
375,Ljubljana,148,null,null
376,OuAcmAc,126,null,null
377,Brunei and Muara,149,null,null
378,Port of Spain,150,null,null
379,National Capital,151,null,null
380,Bern,96,null,null
381,Khomas,152,null,null
382,DemeraraMahaica,153,null,null
383,Paramaribo,154,null,null
384,DAli,155,null,null
385,Chuquisaca,66,null,null
386,LefkosAa,157,null,null
387,Dodoma,50,null,null
388,Western,158,null,null
389,Gaborone,159,null,null
390,Yamoussoukro,37,null,null
391,Saint Michael,160,null,null
392,Rewa,161,null,null
393,HAfuAborgarsvAAi,162,null,null
394,Bioko Norte,163,null,null
395,Podgorica,165,null,null
396,Grande Comore,166,null,null
397,Praia,167,null,null
398,Maale,168,null,null
399,Central Equatoria,169,null,null
400,Luxembourg,170,null,null
401,Thimphu,171,null,null
402,Hhohho,172,null,null
403,SAeo TomAc,173,null,null
404,Honiara,174,null,null
405,Tuamasaga,176,null,null
406,Andorra la Vella,177,null,null
407,Saint George,178,null,null
408,Shefa,179,null,null
409,Banjul,180,null,null
410,Tongatapu,181,null,null
411,Castries,182,null,null
412,Vaduz,184,null,null
413,Saint John,185,null,null
414,San Marino CittAˇ,188,null,null
415,Majuro,190,null,null
416,Saint George Basseterre,192,null,null
417,Cayo,193,null,null
418,Funafuti,195,null,null
419,Pohnpei,196,null,null
420,Gitega,147,null,null
421,PrishtinA,201,null,null
422,Melekeok,202,null,null
423,aEAdan,68,null,null
424,Cochabamba,66,null,null
425,Quaeng Nam,28,null,null
426,Permskiy Kray,12,null,null
427,KhAzestAn,20,null,null
428,San Luis PotosA,3,null,null
429,Odesaka Oblasta,54,null,null
430,Ningxia,6,null,null
431,Donetsaka Oblasta,54,null,null
432,DahAk,32,null,null
433,Volgogradskaya Oblasta,12,null,null
434,Assam,4,null,null
435,ChandAgarh,4,null,null
436,Shizuoka,1,null,null
437,Qom,20,null,null
438,YucatAn,3,null,null
439,QuerActaro,3,null,null
440,ParaAba,5,null,null
441,Selangor,57,null,null
442,Oklahoma,2,null,null
443,General Santos,11,null,null
444,ThaEa ThiAnHua,28,null,null
445,Bacolod,11,null,null
446,Connecticut,2,null,null
447,ArbAl,32,null,null
448,Krasnoyarskiy Kray,12,null,null
449,Flanders,75,null,null
450,Konya,13,null,null
451,PiauA,5,null,null
452,Okinawa,1,null,null
453,Abia,16,null,null
454,Borno,16,null,null
455,Az ZarqAa,108,null,null
456,Mersin,13,null,null
457,Mendoza,8,null,null
458,BiobAo,26,null,null
459,BolAvar,22,null,null
460,Mombasa,48,null,null
461,Newcastle upon Tyne,18,null,null
462,Callao,19,null,null
463,Basque Country,27,null,null
464,Johor,57,null,null
465,MarrakechSafi,45,null,null
466,Al BaAYrah,32,null,null
467,Aguascalientes,3,null,null
468,Okayama,1,null,null
469,Lampung,17,null,null
470,Sicilia,41,null,null
471,Cardiff,18,null,null
472,Tamaulipas,3,null,null
473,Sumatera Barat,17,null,null
474,ValparaAso,26,null,null
475,Occitanie,14,null,null
476,Odisha,4,null,null
477,Voronezhskaya Oblasta,12,null,null
478,Saratovskaya Oblasta,12,null,null
479,Morelos,3,null,null
480,Hawaii,2,null,null
481,Delta,16,null,null
482,BaselStadt,96,null,null
483,TucumAn,8,null,null
484,KermAnshAh,20,null,null
485,KentrikA MakedonAa,44,null,null
486,Nebraska,2,null,null
487,Braga,51,null,null
488,Nottingham,18,null,null
489,SoussMassa,45,null,null
490,Plateau,16,null,null
491,Cebu,11,null,null
492,Arequipa,19,null,null
493,Liverpool,18,null,null
494,RAjshAhi,7,null,null
495,Sinaloa,3,null,null
496,Valencia,27,null,null
497,Mato Grosso,5,null,null
498,BAnh AêaE?nh,28,null,null
499,Lavivsaka Oblasta,54,null,null
500,NouvelleAquitaine,14,null,null
501,Riau,17,null,null
502,Oran,40,null,null
503,Melaka,57,null,null
504,Zaporizaka Oblasta,54,null,null
505,Antalya,13,null,null
506,Al audaydah,68,null,null
507,Mato Grosso do Sul,5,null,null
508,Chungbuk,15,null,null
509,Zamboanga,11,null,null
510,Hamnam,42,null,null
511,Kwara,16,null,null
512,Saarland,39,null,null
513,BalochistAn,9,null,null
514,La Libertad,19,null,null
515,KasaA Central,21,null,null
516,Trabzon,13,null,null
517,New Mexico,2,null,null
518,AÅAdzkie,52,null,null
519,MaA?opolskie,52,null,null
520,TaaEizz,68,null,null
521,TangerTActouanAl HoceAma,45,null,null
522,Hsinchu,24,null,null
523,Changhua,24,null,null
524,FargaEona,61,null,null
525,Namangan,61,null,null
526,Wallonia,75,null,null
527,Alabama,2,null,null
528,Naga,11,null,null
529,Pomorskie,52,null,null
530,Bali,17,null,null
531,Sokoto,16,null,null
532,Bremen,39,null,null
533,As SulaymAnAyah,32,null,null
